node_1|node_2|edge|chunk_id
sông hồng sedimentary basin|kainozoi|is a type of|2b796e4335064983a21222b4251d11e9
sông hồng sedimentary basin|petroleum|contains|2b796e4335064983a21222b4251d11e9
vietnam oil and gas group|sông hồng sedimentary basin|is interested in|2b796e4335064983a21222b4251d11e9
sông hồng sedimentary basin|ham rong discovery|has|2b796e4335064983a21222b4251d11e9
sông hồng sedimentary basin|ki lan discovery|has|2b796e4335064983a21222b4251d11e9
sông hồng sedimentary basin|blue whale discovery|has|2b796e4335064983a21222b4251d11e9
sông hồng sedimentary basin|ken bau gas discovery|has|2b796e4335064983a21222b4251d11e9
ham rong discovery|carbonate reservoir|is in|2b796e4335064983a21222b4251d11e9
ki lan discovery|northern part of the basin|is in|2b796e4335064983a21222b4251d11e9
blue whale discovery|middle miocene carbonate|is in|2b796e4335064983a21222b4251d11e9
ken bau gas discovery|late miocene trap|is in|2b796e4335064983a21222b4251d11e9
sông hồng basin|potential research|comprises|65d47ce81f6f4f298178f626dd46dd9f
sông hồng basin|petrovietnam institute of petroleum|commissioned task|65d47ce81f6f4f298178f626dd46dd9f
topic|results of geological-geophysical research|includes|65d47ce81f6f4f298178f626dd46dd9f
topic|data set|updates|65d47ce81f6f4f298178f626dd46dd9f
topic|summarizes the potential oil and gas reserves|as of|65d47ce81f6f4f298178f626dd46dd9f
research results|research level|assesses|65d47ce81f6f4f298178f626dd46dd9f
research results|existing issues|assesses|65d47ce81f6f4f298178f626dd46dd9f
research results|comprehensive geological picture|prepares report to build|65d47ce81f6f4f298178f626dd46dd9f
comprehensive geological picture|remaining potential|assesses|65d47ce81f6f4f298178f626dd46dd9f
comprehensive geological picture|direction for future research|proposes|65d47ce81f6f4f298178f626dd46dd9f
bể sông hồng|địa lý|nằm trong|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|diện tích|có|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|đá móng lộ thiên mesozoi – paleozoi|là|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|đá móng lộ thiên mesozoi – paleozoi đảo hải nam|là|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|độ sâu nước biển|độ|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|địa hình đáy biển|thoải dần về|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|mực nước|thay đổi từ|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|thăm dò địa chấn|công tác|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|nghiên cứu|của đề tài từ|78f3613f808c40b59f9ff520584b8cfe
bể sông hồng|lô 101|từ|78f3613f808c40b59f9ff520584b8cfe
water|elevation|varies from|917952e0c1434dfaaca1ddcf15bcd9a4
exploration|seismic exploration|related to|917952e0c1434dfaaca1ddcf15bcd9a4
year 1980|exploration activity|before|917952e0c1434dfaaca1ddcf15bcd9a4
international oil company|oil exploration|conducted|917952e0c1434dfaaca1ddcf15bcd9a4
seismic network|central coastal area|detonated from|917952e0c1434dfaaca1ddcf15bcd9a4
2d seismic survey|network|has|917952e0c1434dfaaca1ddcf15bcd9a4
year 1981|initiated|truly started|917952e0c1434dfaaca1ddcf15bcd9a4
soviet union|implemented|assisted|917952e0c1434dfaaca1ddcf15bcd9a4
vietnam oil and gas corporation|2d seismic survey|conducted|917952e0c1434dfaaca1ddcf15bcd9a4
research line network|16x16 km area|belongs to|917952e0c1434dfaaca1ddcf15bcd9a4
block 102|2x2 km grid network|belongs to|8c8ea02594854884a84593411403b3c8
block 103|2x2 km grid network|belongs to|8c8ea02594854884a84593411403b3c8
block 106|2x2 km grid network|belongs to|8c8ea02594854884a84593411403b3c8
block 107|2x2 km grid network|belongs to|8c8ea02594854884a84593411403b3c8
block 106|48 observation points|at|8c8ea02594854884a84593411403b3c8
poisk seismic vessel|former soviet union|of|8c8ea02594854884a84593411403b3c8
iskachel seismic vessel|former soviet union|of|8c8ea02594854884a84593411403b3c8
geological structure map|thickness assessment|enables|8c8ea02594854884a84593411403b3c8
geological structure map|mainly structural and tectonic factors|enables|8c8ea02594854884a84593411403b3c8
